年月,公司,业务线,区域,城市,门店,产品,本期销售额,销售成本,目标销售额,同业平均,单位
201701,C001,B01,Z1,Z11,Z1101,P01,105148,62902,103708,100000,CNY
201701,C001,B01,Z1,Z11,Z1101,P02,110462,61804,100587,100000,CNY
201701,C001,B01,Z1,Z11,Z1101,P03,107204,69307,100044,100000,CNY
201701,C001,B01,Z1,Z11,Z1101,P04,102497,76788,105518,100000,CNY
201701,C001,B01,Z1,Z11,Z1101,P05,106843,75101,102727,100000,CNY
201701,C001,B01,Z1,Z11,Z1102,P01,104209,63940,102326,100000,CNY
201701,C001,B01,Z1,Z11,Z1102,P02,112210,62770,108930,100000,CNY
201701,C001,B01,Z1,Z11,Z1102,P03,116924,67050,102333,100000,CNY
201701,C001,B01,Z1,Z11,Z1102,P04,114953,64386,106250,100000,CNY
201701,C001,B01,Z1,Z11,Z1102,P05,117197,62009,103871,100000,CNY
201701,C001,B01,Z1,Z11,Z1103,P01,111939,67321,101578,100000,CNY
201701,C001,B01,Z1,Z11,Z1103,P02,103655,67715,100184,100000,CNY
201701,C001,B01,Z1,Z11,Z1103,P03,115288,78925,102258,100000,CNY
201701,C001,B01,Z1,Z11,Z1103,P04,111858,60116,106373,100000,CNY
201701,C001,B01,Z1,Z11,Z1103,P05,102653,77609,109441,100000,CNY
201701,C001,B01,Z1,Z11,Z1104,P01,119215,60182,100608,100000,CNY
201701,C001,B01,Z1,Z11,Z1104,P02,111220,71142,100383,100000,CNY
201701,C001,B01,Z1,Z11,Z1104,P03,119451,60003,100506,100000,CNY
201701,C001,B01,Z1,Z11,Z1104,P04,105860,73581,103350,100000,CNY
201701,C001,B01,Z1,Z11,Z1105,P01,115509,76536,108803,100000,CNY
201701,C001,B01,Z1,Z11,Z1105,P02,113857,73496,105554,100000,CNY
201701,C001,B01,Z1,Z11,Z1105,P03,114680,74096,100887,100000,CNY
201701,C001,B01,Z1,Z11,Z1105,P04,107488,75958,109416,100000,CNY
201701,C001,B01,Z1,Z11,Z1106,P01,111091,77265,104087,100000,CNY
201701,C001,B01,Z1,Z11,Z1106,P02,119863,64509,100425,100000,CNY
201701,C001,B01,Z1,Z11,Z1106,P03,101397,75099,105691,100000,CNY
201701,C001,B01,Z1,Z12,Z1201,P01,106626,67579,106481,100000,CNY
201701,C001,B01,Z1,Z12,Z1201,P02,117581,78854,104326,100000,CNY
201701,C001,B01,Z1,Z12,Z1201,P03,104560,66607,101040,100000,CNY
201701,C001,B01,Z1,Z12,Z1201,P04,100602,77124,103574,100000,CNY
201701,C001,B01,Z1,Z12,Z1202,P01,108076,61454,105743,100000,CNY
201701,C001,B01,Z1,Z12,Z1202,P02,113471,67068,109990,100000,CNY
201701,C001,B01,Z1,Z12,Z1202,P03,111946,63936,100030,100000,CNY
201701,C001,B01,Z1,Z13,Z1301,P01,101634,63884,102206,100000,CNY
201701,C001,B01,Z1,Z13,Z1301,P02,104871,60415,104024,100000,CNY
201701,C001,B01,Z1,Z13,Z1301,P03,114399,68771,107582,100000,CNY
201701,C001,B01,Z1,Z13,Z1301,P04,115669,68136,105424,100000,CNY
201701,C001,B01,Z1,Z13,Z1302,P01,115408,63866,105755,100000,CNY
201701,C001,B01,Z1,Z13,Z1302,P02,105732,70499,105512,100000,CNY
201701,C001,B01,Z1,Z14,Z1401,P01,103247,70970,104178,100000,CNY
201701,C001,B01,Z1,Z14,Z1401,P02,118688,77103,101954,100000,CNY
201701,C001,B01,Z1,Z14,Z1401,P03,104095,77506,106664,100000,CNY
201701,C001,B01,Z1,Z14,Z1402,P01,103653,74079,108237,100000,CNY
201701,C001,B01,Z1,Z14,Z1402,P02,105274,77017,103698,100000,CNY
201701,C001,B01,Z1,Z14,Z1402,P03,103936,77860,109548,100000,CNY
201701,C001,B01,Z1,Z15,Z1501,P01,106906,62196,101269,100000,CNY
201701,C001,B01,Z1,Z15,Z1501,P02,105097,72364,100764,100000,CNY
201701,C001,B01,Z1,Z15,Z1501,P03,105128,64594,108751,100000,CNY
201701,C001,B01,Z1,Z15,Z1501,P04,119989,77811,103080,100000,CNY
201701,C001,B01,Z1,Z15,Z1501,P05,107932,73691,101939,100000,CNY
201701,C001,B01,Z1,Z16,Z1601,P01,100777,65303,102495,100000,CNY
201701,C001,B01,Z1,Z16,Z1601,P02,100941,75614,107290,100000,CNY
201701,C001,B01,Z1,Z16,Z1601,P03,103287,65267,109171,100000,CNY
201701,C001,B01,Z1,Z16,Z1601,P04,102580,79869,103333,100000,CNY
201701,C001,B01,Z1,Z16,Z1601,P05,112313,74399,103187,100000,CNY
201701,C001,B01,Z2,Z21,Z2101,P01,104588,64426,102830,100000,CNY
201701,C001,B01,Z2,Z21,Z2101,P02,105878,72528,104845,100000,CNY
201701,C001,B01,Z2,Z21,Z2101,P03,111940,76239,101567,100000,CNY
201701,C001,B01,Z2,Z21,Z2102,P01,114737,63606,104871,100000,CNY
201701,C001,B01,Z2,Z21,Z2102,P02,108723,65933,106935,100000,CNY
201701,C001,B01,Z2,Z21,Z2102,P03,106959,71568,101367,100000,CNY
201701,C001,B01,Z2,Z21,Z2103,P01,119824,71916,109172,100000,CNY
201701,C001,B01,Z2,Z21,Z2103,P02,107094,69903,104661,100000,CNY
201701,C001,B01,Z2,Z21,Z2104,P01,116786,77437,101012,100000,CNY
201701,C001,B01,Z2,Z21,Z2104,P02,108970,72473,102844,100000,CNY
201701,C001,B01,Z2,Z21,Z2104,P03,109466,71274,108562,100000,CNY
201701,C001,B01,Z2,Z21,Z2104,P04,113655,73078,106511,100000,CNY
201701,C001,B01,Z2,Z22,Z2201,P01,112553,68491,104593,100000,CNY
201701,C001,B01,Z2,Z22,Z2201,P02,106657,65971,107485,100000,CNY
201701,C001,B01,Z2,Z22,Z2201,P03,116654,73958,107199,100000,CNY
201701,C001,B01,Z2,Z22,Z2202,P01,112903,61926,108639,100000,CNY
201701,C001,B01,Z2,Z22,Z2202,P02,106925,76926,101924,100000,CNY
201701,C001,B01,Z2,Z22,Z2202,P03,116896,70637,106428,100000,CNY
201701,C001,B01,Z2,Z22,Z2203,P01,108414,71478,103344,100000,CNY
201701,C001,B01,Z2,Z22,Z2203,P02,103992,67758,107667,100000,CNY
201701,C001,B01,Z2,Z22,Z2204,P01,114226,72985,101378,100000,CNY
201701,C001,B01,Z2,Z22,Z2204,P02,104231,71618,107802,100000,CNY
